EmployeeId,Age,Attrition,BusinessTravel,DistanceFromHome,EducationField,EnvironmentSatisfaction,JobInvolvement,JobLevel,JobRole,JobSatisfaction,MaritalStatus,MonthlyIncome,OverTime,StockOptionLevel,TotalWorkingYears,WorkLifeBalance,YearsAtCompany,YearsInCurrentRole,YearsWithCurrManager
1,38,No,Travel_Frequently,1,Other,Very High,High,0,Human Resources,Medium,Married,2991,Yes,1,7,Excellent,6,2,2
2,37,Yes,Travel_Rarely,11,Medical,Low,Low,1,Healthcare Representative,Medium,Married,4777,No,0,15,Low,1,0,0
3,51,Yes,Travel_Rarely,4,Life Sciences,Low,High,0,Research Scientist,High,Married,2461,Yes,3,18,Outstanding,10,0,7
4,42,No,Travel_Frequently,26,Marketing,High,High,3,Sales Executive,Medium,Married,13525,No,1,23,Outstanding,20,4,8
5,40,No,Travel_Rarely,2,Medical,High,High,0,Research Scientist,High,Married,2001,No,3,20,Excellent,5,3,2
6,29,No,Travel_Rarely,6,Medical,Very High,Medium,0,Human Resources,Medium,Married,2804,No,0,1,Excellent,1,0,0
7,40,No,Travel_Rarely,1,Medical,Medium,Low,1,Sales Executive,Very High,Married,7457,Yes,3,6,Good,4,3,2
8,55,Yes,Travel_Rarely,2,Medical,Very High,High,4,Manager,Low,Married,19859,Yes,1,24,Excellent,5,2,4
9,36,No,Travel_Frequently,18,Medical,Medium,High,0,Laboratory Technician,Very High,Single,2153,No,0,8,Excellent,8,1,7
10,32,No,Travel_Rarely,3,Life Sciences,High,High,2,Research Director,Very High,Single,11159,No,0,10,Excellent,7,7,7
11,25,No,Travel_Rarely,4,Marketing,High,Medium,1,Sales Executive,Low,Married,4256,No,0,5,Outstanding,5,2,3
12,20,Yes,Travel_Rarely,4,Technical Degree,Low,High,0,Laboratory Technician,Low,Single,2973,No,0,1,Excellent,1,0,0
13,47,No,Travel_Rarely,14,Medical,High,High,1,Sales Executive,High,Married,4591,Yes,1,11,Good,5,4,2
14,42,No,Travel_Rarely,23,Life Sciences,Low,High,3,Research Director,Very High,Single,15992,No,0,16,Excellent,1,0,0
15,31,No,Travel_Rarely,12,Medical,Very High,High,1,Healthcare Representative,Very High,Married,5855,Yes,2,10,Low,9,7,5
16,38,No,Non-Travel,6,Medical,Medium,Low,1,Research Scientist,Very High,Divorced,5329,Yes,3,17,Excellent,13,11,9
17,39,No,Travel_Rarely,2,Technical Degree,Very High,Medium,1,Healthcare Representative,High,Single,4553,No,0,20,Excellent,20,7,10
18,54,No,Travel_Rarely,5,Medical,Low,High,4,Research Director,Low,Married,19406,No,1,24,Good,4,2,2
